Semana,Data Início,Data Fim,Meta Receita (R$),Receita Real (R$),% Atingido,Meta Pedidos,Pedidos Real,% Conversão,Meta Ticket Médio,Ticket Médio Real,Meta Visitas,Visitas Real,CAC (R$),LTV (R$),NPS,Clientes Novos,Clientes Recorrentes,% Recompra,CAC Meta,LTV Meta
SEMANA 1,2026-04-11,2026-04-18,8000,0,0%,25,0,0%,500,0,5000,0,38,539,0,10,3,30%,40,550
SEMANA 2,2026-04-19,2026-04-25,8000,0,0%,25,0,0%,500,0,5000,0,38,539,0,10,3,30%,40,550
SEMANA 3,2026-04-26,2026-05-02,8000,0,0%,25,0,0%,500,0,5000,0,38,539,0,10,3,30%,40,550
SEMANA 4,2026-05-03,2026-05-09,8000,0,0%,25,0,0%,500,0,5000,0,38,539,0,10,3,30%,40,550
SEMANA 5,2026-05-10,2026-05-16,9000,0,0%,28,0,0%,510,0,5500,0,38,540,0,11,4,35%,40,550
SEMANA 6,2026-05-17,2026-05-23,9000,0,0%,28,0,0%,510,0,5500,0,38,540,0,11,4,35%,40,550
SEMANA 7,2026-05-24,2026-05-30,9000,0,0%,28,0,0%,510,0,5500,0,38,540,0,11,4,35%,40,550
SEMANA 8,2026-05-31,2026-06-06,9000,0,0%,28,0,0%,510,0,5500,0,38,540,0,11,4,35%,40,550
SEMANA 9,2026-06-07,2026-06-13,10000,0,0%,30,0,0%,530,0,6000,0,38,540,0,12,5,40%,40,550
SEMANA 10,2026-06-14,2026-06-20,10000,0,0%,30,0,0%,530,0,6000,0,38,540,0,12,5,40%,40,550
SEMANA 11,2026-06-21,2026-06-27,10000,0,0%,30,0,0%,530,0,6000,0,38,540,0,12,5,40%,40,550
SEMANA 12,2026-06-28,2026-07-04,10000,0,0%,30,0,0%,530,0,6000,0,38,540,0,12,5,40%,40,550
SEMANA 13,2026-07-05,2026-07-11,10750,0,0%,32,0,0%,540,0,6500,0,38,540,0,13,5,40%,40,550
SEMANA 14,2026-07-12,2026-07-18,10750,0,0%,32,0,0%,540,0,6500,0,38,540,0,13,5,40%,40,550
SEMANA 15,2026-07-19,2026-07-25,10750,0,0%,32,0,0%,540,0,6500,0,38,540,0,13,5,40%,40,550
SEMANA 16,2026-07-26,2026-08-01,10750,0,0%,32,0,0%,540,0,6500,0,38,540,0,13,5,40%,40,550
SEMANA 17,2026-08-02,2026-08-08,11750,0,0%,35,0,0%,550,0,7000,0,38,540,0,14,6,45%,40,550
SEMANA 18,2026-08-09,2026-08-15,11750,0,0%,35,0,0%,550,0,7000,0,38,540,0,14,6,45%,40,550
SEMANA 19,2026-08-16,2026-08-22,11750,0,0%,35,0,0%,550,0,7000,0,38,540,0,14,6,45%,40,550
SEMANA 20,2026-08-23,2026-08-29,11750,0,0%,35,0,0%,550,0,7000,0,38,540,0,14,6,45%,40,550
SEMANA 21,2026-08-30,2026-09-05,12500,0,0%,37,0,0%,560,0,7500,0,38,540,0,15,7,45%,40,550
SEMANA 22,2026-09-06,2026-09-12,12500,0,0%,37,0,0%,560,0,7500,0,38,540,0,15,7,45%,40,550
SEMANA 23,2026-09-13,2026-09-19,12500,0,0%,37,0,0%,560,0,7500,0,38,540,0,15,7,45%,40,550
SEMANA 24,2026-09-20,2026-09-26,12500,0,0%,37,0,0%,560,0,7500,0,38,540,0,15,7,45%,40,550
SEMANA 25,2026-09-27,2026-10-03,12500,0,0%,37,0,0%,560,0,7500,0,38,540,0,15,7,45%,40,550
SEMANA 26,2026-10-04,2026-10-10,12500,0,0%,37,0,0%,560,0,7500,0,38,540,0,15,7,45%,40,550
