,Semana 1,Semana 2,Semana 3,Semana 4,Meta Mensal
VENDAS,,,,,
Faturamento Total (R$),5000,6250,7813,9766,30000
Número de Pedidos,28,35,44,55,162
Ticket Médio (R$),178,179,177,178,185
Unidades Vendidas,45,56,70,88,259
,,,,,
CONVERSÃO,,,,,
Taxa de Conversão (%),2.1,2.3,2.5,2.7,2.5
Taxa de Carrinho Abandonado (%),68,65,62,58,60
Taxa de Recuperação de Carrinho (%),8,10,12,15,12
Taxa de Rejeição - Checkout (%),25,22,20,18,20
,,,,,
MARKETING,,,,,
Investimento Total (R$),1500,1875,2344,2930,10000
CAC - Custo de Aquisição (R$),35,34,33,32,35
ROAS - Retorno sobre Ads,3.8,4.0,4.2,4.5,4.0
LTV - Lifetime Value (R$),252,260,270,280,300
LTV/CAC Ratio,7.2,7.6,8.2,8.8,8.0
,,,,,
TRAFEGO,,,,,
Visitas Totais,1333,1522,1750,2037,7500
Visitas Orgânicas,1200,1320,1452,1597,5569
Visitas Pagas (Ads),800,960,1152,1382,4294
Visitas Email/Direto,400,440,484,532,1856
,,,,,
OPERAÇÃO,,,,,
Tempo Médio de Envio (dias),2.1,1.9,1.7,1.5,1.5
Taxa de Devolução (%),4.2,3.8,3.5,3.0,3.0
Taxa de Reclamação (%),2.1,1.9,1.7,1.5,1.5
NPS - Net Promoter Score,42,45,48,52,50
Tempo 1ª Resposta SAC (h),4,2.5,1.5,1,1
,,,,,
PRODUTOS,,,,,
Margem Média (%),52.1,52.5,53.0,53.5,55
Produto Mais Vendido (SKU),DEC-005,DEC-005,DEC-005,DEC-005,-
Produto Maior Margem (%),DEC-001 (60.7%),DEC-001 (60.7%),DEC-001 (60.7%),DEC-001 (60.7%),-
Taxa de Ruptura (%),5,4,3,2,2
,,,,,
FINANCEIRO,,,,,
Receita Bruta (R$),5000,6250,7813,9766,30000
Custo dos Produtos (R$),2395,2969,3672,4539,15000
Margem Bruta (R$),2605,3281,4141,5227,15000
Despesas Marketing (R$),1500,1875,2344,2930,10000
Lucro Operacional (R$),1105,1406,1797,2297,5000
,,,,,
METAS vs REALIZADO,,,,,
Meta Faturamento (%),80,100,125,156,-
Meta Conversão (%),84,92,100,108,-
Meta CAC (%),114,103,94,91,<=100%
Meta NPS (%),84,90,96,104,>=100%
,,,,,
AÇÕES DA SEMANA,,,,,
Semana 1,"Configurar recuperação de carrinho; Ativar WhatsApp auto; Criar planilha KPIs",,,,
Semana 2,"Implementar menu WhatsApp; Configurar upsell; Treinar equipe",,,,
Semana 3,"Lançar Google Ads; Chatbot Shopify; Dashboard analytics",,,,
Semana 4,"Ativar programa de afiliados; Email marketing; Precificação dinâmica",,,,
